French,English
chercher,search
seulement,only
police,police
pensais,thought
genre,kind
frère,brother
laisser,let
parlé,speak
devrait,should
vont,will
place,square
étaient,were
voici,here is
pourrais,could
affaire,case
type,type
endroit,place
trouve,find
premier,first
main,hand
côté,side
pouvoir,power
vieux,old
sois,be
tiens,here
matin,morning
tellement,so much
point,point
venu,came
pardon,sorry
minutes,minutes
mis,placed
droit,law
mari,husband
parti,left
nouvelle,new
boulot,job
terre,Earth
donne,given
loin,far
gros,large
plutôt,rather
filles,girls
